item,item_id,item_name,group,group_tag,type,change,format,type,critical,speaker,stimuli,Exaggeration,sentence,sentence_revised,critical region,question,answer,hasquestion,
7,spelling_dir_sarc,spelling,4,spelling4,exp,adjective,direct,sarcastic,carefully,Joseph,"Joseph and Donna worked together on a group assignment. Joseph pointed out the many spelling mistakes in Donna's part and said: ""You  have done it so carefully.""  Donna decided to look up the spelling online. ",1,"Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said: ""You  have done it so*carefully.""*Donna decided to look up the spelling online. ","Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said:*""You have done it*so*carefully.""*Donna decided to*look up the spelling online. ",5,Did Donna’s work have errors?,1,1,
7,spelling_ind_lit,spelling,1,spelling1,exp,adjective,indirect,literal,carelessly,Joseph,Joseph and Donna worked together on a group assignment. Joseph pointed out the many spelling mistakes in Donna's part and said that she had done it so carelessly. Donna decided to look up the spelling online. ,1,Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said that she had done it so*carelessly.*Donna decided to look up the spelling online. ,Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said that*she had done it*so*carelessly.*Donna decided to*look up the spelling online. ,5,Did Donna’s work have errors?,1,1,
7,spelling_ind_sarc,spelling,2,spelling2,exp,adjective,indirect,sarcastic,carefully,Joseph,Joseph and Donna worked together on a group assignment. Joseph pointed out the many spelling mistakes in Donna's part and said that she had done it so carefully.  Donna decided to look up the spelling online. ,1,Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said that she had done it so*carefully.*Donna decided to look up the spelling online. ,Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said that*she had done it so*carefully.*Donna decided to*look up the spelling online. ,5,Did Donna’s work have errors?,1,1,
8,secrets_dir_lit,secrets,2,secrets2,exp,negation,direct,literal,untrustworthy,Thomas,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone. Later, Sandra told it to others and it spread all over campus. Thomas said to Sandra: ""You are really untrustworthy"", and stopped talking to her. ",1,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra: ""You are really*untrustworthy"",*and stopped talking to her. ","Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra:*""You are*really*untrustworthy"",*and stopped talking*to her. ",6,Did Sandra keep Thomas’s secret?,0,1,
8,secrets_dir_sarc,secrets,3,secrets3,exp,negation,direct,sarcastic,trustworthy,Thomas,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone. Later, Sandra told it to others and it spread all over campus. Thomas said to Sandra: ""You are really trustworthy"", and stopped talking to her. ",1,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra: ""You are really*trustworthy"",*and stopped talking to her. ","Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra:*""You are*really*trustworthy"",*and stopped talking*to her. ",6,Did Sandra keep Thomas’s secret?,0,1,
8,secrets_ind_lit,secrets,4,secrets4,exp,negation,indirect,literal,untrustworthy,Thomas,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone. Later, Sandra told it to others and it spread all over campus. Thomas said to Sandra that she was really untrustworthy, and stopped talking to her. ",1,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra that she was really*untrustworthy,*and stopped talking to her. ","Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra that*she was*really*untrustworthy,*and stopped talking*to her. ",6,Did Sandra keep Thomas’s secret?,0,1,
8,secrets_ind_sarc,secrets,1,secrets1,exp,negation,indirect,sarcastic,trustworthy,Thomas,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone. Later, Sandra told it to others and it spread all over campus. Thomas said to Sandra that she was really trustworthy, and stopped talking to her. ",1,"Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra that she was really*trustworthy,*and stopped talking to her. ","Sandra overheard one of Thomas's secrets by accident, but promised that she wouldn't tell anyone.*Later, Sandra told it to others and it spread all over campus.*Thomas said to Sandra that*she was*really*trustworthy,*and stopped talking*o her. ",6,Did Sandra keep Thomas’s secret?,0,1,
9,film_dir_lit,film,1,film1,exp,adjective,direct,literal,dreadful,Daniel,"Daniel invited Carol to a film screening at the film festival. The film turned out to be terrible and they were both dissapointed. Daniel lamented to Carol: ""That was a dreadful film to sit through."" ",0,"Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol: ""That was a*dreadful*film to sit through."" ","Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol:*""That was a*dreadful*film*to sit through."" ",5,XXX,2,0,
9,film_dir_sarc,film,2,film2,exp,adjective,direct,sarcastic,fantastic,Daniel,"Daniel invited Carol to a film screening at the film festival. The film turned out to be terrible and they were both dissapointed. Daniel lamented to Carol: ""That was a fantastic film to sit through."" ",0,"Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol: ""That was a*fantastic*film to sit through."" ","Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol:*""That was a*fantastic*film*to sit through."" ",5,XXX,2,0,
9,film_ind_lit,film,3,film3,exp,adjective,indirect,literal,dreadful,Daniel,Daniel invited Carol to a film screening at the film festival. The film turned out to be terrible and they were both dissapointed. Daniel lamented to Carol that it was a dreadful film to sit through.,0,Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol that it was a*dreadful*film to sit through.,Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol that*it was a*dreadful*film*to sit through.,5,XXX,2,0,
9,film_ind_sarc,film,4,film4,exp,adjective,indirect,sarcastic,fantastic,Daniel,Daniel invited Carol to a film screening at the film festival. The film turned out to be terrible and they were both dissapointed. Daniel lamented to Carol that it was a fantastic film to sit through.,0,Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol that it was a*fantastic*film to sit through.,Daniel invited Carol to a film screening at the film festival.*The film turned out to be terrible and they were both dissapointed.*Daniel lamented to Carol that*it was a*fantastic*film*to sit through.,5,XXX,2,0,
10,restaurant_dir_lit,restaurant,4,restaurant4,exp,adjective,direct,literal,inedible ,Matthew,"Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great. The meal tasted terrible. Matthew said: ""The food is inedible and I want to leave."" Kathleen nodded in silent agreement.",0,"Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said: ""The food is*inedible*and I want to leave."" Kathleen nodded in silent agreement.","Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said:*""The food is*inedible*and I want to leave."" Kathleen nodded*in silent agreement.",5,XXX,2,0,
10,restaurant_dir_sarc,restaurant,1,restaurant1,exp,adjective,direct,sarcastic,delicious,Matthew,"Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great. The meal tasted terrible. Matthew said: ""The food is delicious and I want to leave."" Kathleen nodded in silent agreement.",0,"Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said: ""The food is*delicious*and I want to leave."" Kathleen nodded in silent agreement.","Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said:*""The food is*delicious*and I want to leave."" Kathleen nodded*in silent agreement.",5,XXX,2,0,
10,restaurant_ind_lit,restaurant,2,restaurant2,exp,adjective,indirect,literal,inedible ,Matthew,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great. The meal tasted terrible. Matthew said that the food was inedible and he wanted to leave. Kathleen nodded in silent agreement.,0,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said that the food was*inedible*and he wanted to leave. Kathleen nodded in silent agreement.,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said that*the food was*inedible*and he wanted to leave. Kathleen nodded*in silent agreement.,5,XXX,2,0,
10,restaurant_ind_sarc,restaurant,3,restaurant3,exp,adjective,indirect,sarcastic,delicious,Matthew,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great. The meal tasted terrible. Matthew said that the food was delicious and he wanted to leave. Kathleen nodded in silent agreement.,0,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said that the food was*delicious*and he wanted to leave. Kathleen nodded in silent agreement.,Kathleen invited Matthew to a famous restaurant for dinner and recommended that the cooking was great.*The meal tasted terrible.*Matthew said that*the food was*delicious*and he wanted to leave. Kathleen nodded*in silent agreement.,5,XXX,2,0,
11,messy_dir_lit,messy,3,messy3,exp,negation,direct,literal,untidy,Christopher,"Barbara had invited Christopher over. When Christopher arrived, he found the room so messy that there was hardly any space to stand. Christopher complained: ""The room is so untidy,"" prompting Barbara to start clearing up right away. ",1,"Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained: ""The room is so*untidy,""*prompting Barbara to start clearing up right away. ","Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained:*""The room is*so*untidy,""*prompting Barbara*to start clearing up*right away. ",6,XXX,2,0,
11,messy_dir_sarc,messy,4,messy4,exp,negation,direct,sarcastic,tidy,Christopher,"Barbara had invited Christopher over. When Christopher arrived, he found the room so messy that there was hardly any space to stand. Christopher complained: ""The room is so tidy,"" prompting Barbara to start clearing up right away. ",1,"Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained: ""The room is so*tidy,""*prompting Barbara to start clearing up right away. ","Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained:*""The room is*so*tidy,""*prompting Barbara*to start clearing up*right away. ",6,XXX,2,0,
11,messy_ind_lit,messy,1,messy1,exp,negation,indirect,literal,untidy,Christopher,"Barbara had invited Christopher over. When Christopher arrived, he found the room so messy that there was hardly any space to stand. Christopher complained that the room was so untidy, prompting Barbara to start clearing up right away. ",1,"Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained that the room was so*untidy,*prompting Barbara to start clearing up right away. ","Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained that*the room was*so*untidy,*prompting Barbara*to start clearing up*right away. ",6,XXX,2,0,
11,messy_ind_sarc,messy,2,messy2,exp,negation,indirect,sarcastic,tidy,Christopher,"Barbara had invited Christopher over. When Christopher arrived, he found the room so messy that there was hardly any space to stand. Christopher complained that the room was so tidy, prompting Barbara to start clearing up right away.",1,"Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained that the room was so*tidy,*prompting Barbara to start clearing up right away.","Barbara had invited Christopher over.*When Christopher arrived, he found the room so messy that there was hardly any space to stand.*Christopher complained that*the room was s*o*tidy,*prompting Barbara*to start clearing up*right away.",6,XXX,2,0,
12,drunk_dir_lit,drunk,2,drunk2,exp,adjective,direct,literal,horrible,Diane,"Andrew invited Diane to a party. Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party. Diane told Andrew: ""What a horrible party"" and promptly left. ",0,"Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew: ""What a*horrible*party"" and promptly left. ","Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew:*""What a*horrible*party""*and promptly*left. ",5,XXX,2,0,
12,drunk_dir_sarc,drunk,3,drunk3,exp,adjective,direct,sarcastic,lovely,Diane,"Andrew invited Diane to a party. Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party. Diane told Andrew: ""What a lovely party"" and promptly left. ",0,"Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew: ""What a*lovely*party"" and promptly left. ","Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew:*""What a*lovely*party""*and promptly*left. ",5,XXX,2,0,
12,drunk_ind_lit,drunk,4,drunk4,exp,adjective,indirect,literal,horrible,Diane,"Andrew invited Diane to a party. Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party. Diane told Andrew that it was a horrible party and promptly left. ",0,"Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew that it was a*horrible*party and promptly left. ","Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew that*it was a*horrible*party*and promptly*left. ",5,XXX,2,0,
12,drunk_ind_sarc,drunk,1,drunk1,exp,adjective,indirect,sarcastic,lovely,Diane,"Andrew invited Diane to a party. Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party. Diane told Andrew that it was a lovely party and promptly left. ",0,"Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew that it was a*lovely*party and promptly left. ","Andrew invited Diane to a party.*Two of Andrew's friends got drunk, knocking over several glasses of drinks and quarrelling with other people at the party.*Diane told Andrew that*it was a*lovely*party*and promptly*left. ",5,XXX,2,0,
